@relation avaliation

@attribute topografia {aclive, declive, plano, irregular}
@attribute utilizacao {residencial, comercial, terreno}
@attribute conservacao {otimo, bom, regular, mau}
@attribute esgoto {sim, nao}
@attribute pavimentacao {poliedrico, asfalto, irregular}
@attribute preco numeric
@attribute distanciaUTFPR numeric
@attribute distanciaPracaCentral numeric

@data
plano, residencial, bom, nao, asfalto, 17.36, 2.0, 7.0
plano, terreno, bom, nao, irregular, 10.93, 3.0, 2.0
aclive, residencial, bom, nao, asfalto, 27.93, 9.0, 8.0
aclive, terreno, bom, sim, irregular, 8.64, 2.0, 1.0
irregular, comercial, otimo, sim, asfalto, 12.50, 2.0, 2.0
plano, comercial, regular, nao, irregular, 21.64, 4.0, 9.0
aclive, residencial, regular, nao, poliedrico, 22.57, 8.0, 6.0
declive, terreno, otimo, nao, asfalto, 20.57, 6.0, 5.0
irregular, comercial, regular, sim, poliedrico, 9.64, 1.0, 2.0
aclive, comercial, bom, nao, irregular, 21.14, 7.0, 6.0
irregular, comercial, bom, nao, poliedrico, 17.14, 8.0, 1.0
aclive, residencial, mau, sim, poliedrico, 6.14, 1.0, 1.0
plano, terreno, otimo, sim, irregular, 8.43, 1.0, 1.0
declive, comercial, bom, sim, poliedrico, 10.57, 1.0, 3.0
irregular, residencial, mau, nao, asfalto, 20.71, 7.0, 5.0
aclive, residencial, otimo, sim, irregular, 15.43, 6.0, 2.0
irregular, comercial, mau, nao, poliedrico, 16.07, 4.0, 5.0
plano, comercial, regular, nao, asfalto, 13.07, 1.0, 5.0
aclive, residencial, bom, nao, irregular, 6.50, 2.0, 1.0
declive, residencial, mau, sim, asfalto, 14.14, 3.0, 4.0
plano, residencial, otimo, sim, irregular, 27.71, 8.0, 8.0
declive, terreno, otimo, nao, poliedrico, 12.71, 3.0, 3.0
aclive, residencial, bom, nao, irregular, 23.64, 7.0, 8.0
declive, terreno, otimo, nao, poliedrico, 17.00, 8.0, 1.0
irregular, comercial, bom, sim, irregular, 10.71, 1.0, 3.0
declive, comercial, otimo, nao, asfalto, 17.36, 3.0, 6.0
irregular, comercial, regular, sim, poliedrico, 9.64, 2.0, 1.0
aclive, comercial, bom, nao, asfalto, 16.86, 1.0, 8.0
irregular, terreno, regular, nao, irregular, 25.00, 8.0, 7.0
declive, comercial, otimo, nao, asfalto, 27.36, 9.0, 7.0
plano, terreno, bom, sim, irregular, 18.07, 1.0, 8.0
plano, terreno, mau, nao, poliedrico, 14.86, 2.0, 6.0
irregular, terreno, mau, sim, asfalto, 22.86, 6.0, 6.0
declive, comercial, regular, nao, irregular, 19.50, 3.0, 9.0
aclive, residencial, regular, nao, poliedrico, 12.57, 2.0, 5.0
declive, residencial, mau, nao, irregular, 5.57, 2.0, 1.0
plano, comercial, bom, nao, poliedrico, 25.57, 7.0, 8.0
aclive, comercial, mau, sim, poliedrico, 9.36, 2.0, 2.0
aclive, terreno, bom, nao, irregular, 25.79, 7.0, 9.0
aclive, residencial, bom, nao, asfalto, 19.36, 8.0, 3.0
aclive, terreno, mau, nao, irregular, 17.57, 5.0, 6.0
aclive, terreno, regular, nao, poliedrico, 21.86, 5.0, 8.0
declive, residencial, regular, sim, irregular, 17.71, 5.0, 5.0
aclive, comercial, otimo, sim, asfalto, 17.21, 4.0, 4.0
declive, residencial, otimo, nao, poliedrico, 22.00, 5.0, 8.0
aclive, comercial, regular, nao, asfalto, 15.07, 2.0, 6.0
