@relation avaliation

@attribute topografia {aclive, declive, plano, irregular}
@attribute utilizacao {residencial, comercial, terreno}
@attribute conservacao {otimo, bom, regular, mau}
@attribute esgoto {sim, nao}
@attribute preco {ruim, bom, otimo}
@attribute distanciaUTFPR {ruim, bom, otimo}
@attribute distanciaPracaCentral {ruim, bom, otimo}
@attribute pavimentacao {poliedrico, asfalto, irregular}
@attribute accessToHealth {ruim, bom, otimo}
@attribute securityLevel {ruim, bom, otimo}
@attribute firefighter {ruim, bom, otimo}
@attribute internetOptions {ruim, bom, otimo}
@attribute operatorSignal {ruim, bom, otimo}
@attribute leisureArea {ruim, bom, otimo}
@attribute mobility {ruim, bom, otimo}
@attribute location {ruim, bom, otimo}
@attribute supplyAndDemand {ruim, bom, otimo}
@attribute consumePower {baixo, medio, alto}

@data
plano, terreno, otimo, sim, bom, bom, otimo, poliedrico, ruim, ruim, bom, bom, bom, bom, bom, ruim, bom, baixo
aclive, residencial, regular, nao, bom, bom, bom, irregular, ruim, otimo, otimo, ruim, otimo, otimo, bom, otimo, bom, baixo
plano, terreno, regular, nao, otimo, bom, otimo, irregular, ruim, bom, ruim, ruim, bom, bom, otimo, otimo, otimo, alto
irregular, terreno, bom, nao, bom, ruim, otimo, irregular, bom, otimo, ruim, bom, bom, bom, bom, bom, bom, medio
plano, terreno, mau, nao, bom, bom, bom, asfalto, bom, bom, bom, bom, ruim, otimo, bom, otimo, bom, medio
aclive, terreno, regular, nao, bom, bom, bom, asfalto, bom, ruim, ruim, ruim, bom, otimo, otimo, otimo, bom, medio
declive, comercial, regular, nao, bom, bom, otimo, irregular, bom, otimo, otimo, bom, otimo, ruim, otimo, bom, bom, medio
aclive, terreno, mau, nao, ruim, otimo, ruim, irregular, ruim, ruim, ruim, otimo, ruim, bom, ruim, bom, bom, medio
declive, residencial, mau, nao, ruim, bom, ruim, irregular, otimo, ruim, otimo, ruim, ruim, bom, ruim, ruim, bom, alto
plano, terreno, bom, nao, bom, ruim, bom, poliedrico, bom, ruim, otimo, otimo, otimo, bom, bom, ruim, bom, baixo
aclive, terreno, bom, sim, otimo, bom, bom, asfalto, bom, otimo, bom, otimo, ruim, ruim, otimo, otimo, otimo, medio
plano, comercial, mau, sim, bom, otimo, bom, irregular, ruim, ruim, otimo, bom, otimo, otimo, ruim, otimo, bom, medio
aclive, residencial, bom, sim, bom, ruim, otimo, irregular, ruim, bom, otimo, bom, bom, bom, bom, ruim, bom, medio
irregular, comercial, bom, nao, bom, otimo, otimo, irregular, ruim, ruim, bom, otimo, ruim, ruim, bom, otimo, bom, baixo
irregular, terreno, regular, nao, bom, bom, otimo, poliedrico, bom, otimo, bom, ruim, ruim, ruim, ruim, otimo, bom, medio
