@relation avaliation

@attribute topografia {aclive, declive, plano, irregular}
@attribute utilizacao {residencial, comercial, terreno}
@attribute conservacao {otimo, bom, regular, mau}
@attribute esgoto {sim, nao}
@attribute preco numeric
@attribute distanciaUTFPR numeric
@attribute distanciaPracaCentral numeric
@attribute pavimentacao {poliedrico, asfalto, irregular}
@attribute accessToHealth {ruim, bom, otimo}
@attribute securityLevel {ruim, bom, otimo}
@attribute firefighter {ruim, bom, otimo}
@attribute internetOptions {ruim, bom, otimo}
@attribute operatorSignal {ruim, bom, otimo}
@attribute leisureArea {ruim, bom, otimo}
@attribute mobility {ruim, bom, otimo}
@attribute location {ruim, bom, otimo}
@attribute supplyAndDemand numeric
@attribute consumePower {baixo, medio, alto}

@data
irregular, comercial, mau, nao, 0.45, 0.7, 0.9, poliedrico, bom, otimo, bom, ruim, otimo, otimo, bom, ruim, 0.47, baixo
plano, residencial, otimo, sim, 0.68, 0.9, 0.8, asfalto, otimo, ruim, otimo, otimo, bom, bom, ruim, ruim, 0.62, medio
plano, comercial, bom, sim, 0.62, 0.4, 0.7, asfalto, ruim, otimo, ruim, bom, bom, ruim, bom, ruim, 0.53, baixo
plano, comercial, bom, sim, 0.69, 0.7, 0.7, asfalto, ruim, otimo, otimo, bom, bom, bom, bom, ruim, 0.66, medio
plano, residencial, otimo, nao, 0.48, 0.8, 0.4, irregular, bom, bom, bom, ruim, ruim, bom, ruim, otimo, 0.41, baixo
plano, residencial, bom, sim, 0.64, 0.8, 0.3, asfalto, bom, ruim, bom, bom, otimo, ruim, ruim, ruim, 0.66, alto
irregular, comercial, regular, sim, 0.66, 0.7, 0.6, asfalto, ruim, bom, ruim, otimo, otimo, otimo, bom, bom, 0.58, baixo
plano, terreno, otimo, sim, 0.76, 0.7, 0.5, irregular, otimo, ruim, ruim, bom, otimo, ruim, otimo, otimo, 0.72, medio
plano, residencial, bom, sim, 0.49, 0.5, 0.5, poliedrico, otimo, ruim, ruim, bom, otimo, bom, ruim, ruim, 0.43, baixo
irregular, residencial, mau, nao, 0.43, 0.1, 0.6, irregular, ruim, bom, otimo, bom, ruim, otimo, otimo, ruim, 0.55, alto
plano, residencial, otimo, nao, 0.58, 0.6, 0.7, poliedrico, otimo, otimo, otimo, bom, bom, ruim, ruim, bom, 0.65, alto
aclive, comercial, otimo, sim, 0.55, 0.8, 0.1, irregular, otimo, otimo, ruim, ruim, otimo, ruim, bom, ruim, 0.66, alto
declive, terreno, otimo, nao, 0.55, 0.8, 0.2, poliedrico, otimo, bom, otimo, ruim, bom, otimo, bom, ruim, 0.72, alto
declive, residencial, bom, sim, 0.42, 0.7, 0.6, irregular, ruim, ruim, bom, bom, otimo, bom, ruim, ruim, 0.39, baixo
irregular, residencial, mau, sim, 0.58, 0.4, 0.9, irregular, ruim, otimo, otimo, otimo, otimo, otimo, bom, otimo, 0.59, medio
irregular, terreno, regular, sim, 0.69, 0.5, 0.7, asfalto, bom, ruim, bom, ruim, ruim, ruim, ruim, ruim, 0.74, alto
aclive, terreno, otimo, nao, 0.46, 0.7, 0.1, irregular, otimo, ruim, otimo, bom, ruim, bom, bom, bom, 0.57, medio
aclive, comercial, otimo, nao, 0.54, 0.4, 0.8, asfalto, otimo, ruim, otimo, bom, ruim, otimo, ruim, ruim, 0.66, alto
plano, terreno, regular, nao, 0.53, 0.5, 0.3, irregular, ruim, otimo, ruim, bom, otimo, ruim, ruim, otimo, 0.68, alto
declive, comercial, regular, nao, 0.36, 0.3, 0.1, irregular, ruim, bom, bom, otimo, ruim, otimo, ruim, bom, 0.56, alto
declive, comercial, regular, sim, 0.58, 0.2, 0.4, asfalto, bom, bom, bom, otimo, otimo, ruim, bom, otimo, 0.53, baixo
irregular, comercial, regular, sim, 0.53, 0.7, 0.2, poliedrico, bom, ruim, bom, ruim, ruim, otimo, ruim, bom, 0.48, baixo
irregular, comercial, otimo, nao, 0.51, 0.6, 0.1, irregular, bom, ruim, otimo, ruim, bom, ruim, ruim, bom, 0.61, alto
aclive, terreno, mau, sim, 0.42, 0.1, 0.7, irregular, bom, bom, otimo, ruim, otimo, ruim, ruim, bom, 0.54, medio
irregular, residencial, bom, sim, 0.66, 0.8, 0.6, irregular, bom, otimo, otimo, bom, bom, otimo, bom, otimo, 0.62, medio
plano, residencial, regular, nao, 0.48, 0.2, 0.5, asfalto, bom, ruim, bom, ruim, ruim, ruim, ruim, ruim, 0.54, alto
declive, residencial, regular, nao, 0.49, 0.7, 0.3, irregular, ruim, bom, bom, bom, otimo, ruim, bom, otimo, 0.57, alto
irregular, residencial, regular, sim, 0.61, 0.7, 0.2, asfalto, otimo, ruim, ruim, bom, bom, bom, ruim, ruim, 0.64, alto
plano, comercial, mau, nao, 0.40, 0.2, 0.5, poliedrico, bom, ruim, bom, bom, bom, otimo, ruim, bom, 0.49, medio
declive, terreno, mau, nao, 0.51, 0.6, 0.6, irregular, ruim, bom, ruim, otimo, otimo, ruim, otimo, otimo, 0.58, medio
declive, terreno, otimo, sim, 0.74, 0.9, 0.6, poliedrico, bom, otimo, ruim, bom, otimo, ruim, otimo, bom, 0.72, medio
plano, terreno, mau, nao, 0.45, 0.4, 0.1, asfalto, ruim, ruim, ruim, otimo, otimo, bom, ruim, bom, 0.55, medio
