@relation avaliation

@attribute topografia {aclive, declive, plano, irregular}
@attribute utilizacao {residencial, comercial, terreno}
@attribute conservacao {otimo, bom, regular, mau}
@attribute esgoto {sim, nao}
@attribute preco numeric
@attribute distanciaUTFPR numeric
@attribute distanciaPracaCentral numeric
@attribute pavimentacao {poliedrico, asfalto, irregular}

@data
irregular, terreno, mau, sim, 0.80, 0.9, 0.7, asfalto
declive, comercial, bom, nao, 0.43, 0.2, 0.9, irregular
declive, residencial, mau, sim, 0.47, 0.5, 0.4, poliedrico
irregular, terreno, regular, sim, 0.80, 0.7, 0.4, asfalto
plano, residencial, bom, sim, 0.75, 0.6, 0.5, asfalto
plano, comercial, otimo, sim, 0.71, 0.8, 0.5, irregular
declive, terreno, regular, nao, 0.60, 0.5, 0.8, asfalto
plano, terreno, otimo, sim, 0.93, 0.9, 0.7, asfalto
declive, residencial, bom, sim, 0.56, 0.7, 0.1, poliedrico
irregular, comercial, bom, nao, 0.61, 0.6, 0.2, asfalto
aclive, comercial, mau, nao, 0.39, 0.3, 0.4, asfalto
aclive, comercial, otimo, nao, 0.64, 0.7, 0.7, asfalto
irregular, terreno, bom, sim, 0.81, 0.2, 0.7, asfalto
aclive, terreno, bom, nao, 0.56, 0.2, 0.7, asfalto
irregular, residencial, regular, sim, 0.57, 0.4, 0.1, poliedrico
irregular, comercial, regular, sim, 0.84, 0.8, 0.8, asfalto
aclive, terreno, regular, sim, 0.63, 0.7, 0.9, irregular
irregular, terreno, otimo, sim, 0.87, 0.8, 0.8, poliedrico
irregular, residencial, mau, nao, 0.27, 0.2, 0.2, irregular
declive, terreno, mau, sim, 0.63, 0.7, 0.8, poliedrico
plano, comercial, bom, nao, 0.73, 0.8, 0.9, asfalto
aclive, terreno, bom, nao, 0.42, 0.2, 0.7, irregular
plano, terreno, otimo, nao, 0.61, 0.6, 0.3, poliedrico
aclive, residencial, mau, sim, 0.41, 0.4, 0.2, poliedrico
irregular, comercial, bom, sim, 0.80, 0.3, 0.8, asfalto
declive, comercial, otimo, sim, 0.72, 0.9, 0.5, poliedrico
plano, comercial, bom, nao, 0.63, 0.6, 0.9, poliedrico
plano, residencial, otimo, sim, 0.74, 0.9, 0.9, irregular
aclive, residencial, mau, nao, 0.30, 0.5, 0.8, irregular
irregular, residencial, otimo, nao, 0.53, 0.1, 0.6, poliedrico
declive, comercial, mau, sim, 0.56, 0.9, 0.9, irregular
declive, residencial, regular, nao, 0.54, 0.6, 0.8, asfalto
aclive, residencial, mau, sim, 0.47, 0.7, 0.3, poliedrico
irregular, comercial, regular, nao, 0.35, 0.1, 0.1, irregular
declive, residencial, bom, sim, 0.61, 0.2, 0.4, asfalto
plano, residencial, regular, sim, 0.63, 0.5, 0.5, poliedrico
declive, residencial, bom, sim, 0.64, 0.9, 0.4, poliedrico
irregular, terreno, otimo, nao, 0.56, 0.1, 0.3, poliedrico
irregular, residencial, regular, nao, 0.59, 0.5, 0.6, asfalto
irregular, comercial, bom, sim, 0.66, 0.2, 0.4, poliedrico
declive, comercial, otimo, nao, 0.54, 0.9, 0.7, irregular
plano, terreno, mau, nao, 0.36, 0.2, 0.4, irregular
plano, residencial, regular, nao, 0.49, 0.9, 0.1, poliedrico
aclive, terreno, mau, nao, 0.39, 0.6, 0.3, poliedrico
declive, residencial, mau, nao, 0.26, 0.5, 0.4, irregular
declive, comercial, bom, sim, 0.64, 0.5, 0.6, poliedrico
plano, terreno, bom, sim, 0.81, 0.6, 0.9, poliedrico
declive, comercial, regular, nao, 0.42, 0.6, 0.7, irregular
declive, terreno, regular, nao, 0.36, 0.3, 0.3, irregular
declive, terreno, mau, nao, 0.40, 0.2, 0.7, poliedrico
aclive, terreno, mau, sim, 0.47, 0.2, 0.8, irregular
plano, terreno, regular, nao, 0.51, 0.2, 0.5, poliedrico
irregular, residencial, regular, sim, 0.63, 0.5, 0.9, irregular
aclive, comercial, otimo, nao, 0.39, 0.3, 0.4, irregular
declive, terreno, otimo, sim, 0.77, 0.3, 0.7, asfalto
